question_id,question,without_query_rewriter,with_query_rewriter
q01,How do I keep my commanderies orderly while reducing corruption?,bad,bad
q02,What does Cao Cao use to make other factions fight for him?,bad,bad
q03,How many generals and retinues can I have in one army?,good,good
q04,How should I use cavalry to get behind enemy bows?,bad,bad
q05,What happens when my generals are unhappy?,bad,bad
q06,How can I get more trade deals with rival warlords?,bad,bad
q07,How does Dong Zhuo keep his Intimidation up?,bad,bad
q08,What do spies need before they can perform actions in enemy factions?,bad,bad
q09,What does assigning an Administrator do for a commandery?,bad,bad
q10,How do I gain Imperial Favor and avoid becoming an enemy of the Han?,bad,bad
q11,What is the difference between shock cavalry and melee cavalry?,good,good
q12,Which building chain gives the most industrial income?,bad,bad
q13,How can I produce more food for growing commanderies?,bad,bad
q14,What is Yuan Shao's Lineage used for?,bad,bad
q15,What should I do about Yellow Turban rebellions when public order is low?,bad,bad
